Sex,Diet,Bodyweight
F,A,31.94
F,A,32.48
F,A,22.82
F,A,19.92
F,A,32.22
F,A,27.5
F,A,27.56
F,A,36.44
F,A,19.39
F,A,23.16
F,A,24.29
F,A,18.78
F,A,25.43
F,A,24.3
F,A,33.9
F,A,31.47
F,A,32.01
F,A,18.52
F,A,26.86
F,A,25.41
F,A,29.18
F,A,25.3
F,A,29.64
F,A,20.73
F,A,28.26
F,B,27.03
F,B,24.8
F,B,27.02
F,B,28.07
F,B,23.55
F,B,22.72
F,B,24.82
F,B,21.6
F,B,23.98
F,B,26.6
F,B,19.24
F,B,21.43
F,B,22.73
F,B,20.1
F,B,20.6
F,B,21.49
F,B,24.73
F,B,27.92
F,B,27.51
F,B,19.88
F,B,20.72
F,B,24
F,B,25.08
F,B,25.27
F,B,22.08
F,B,20.52
F,B,23.39
F,B,19.87
F,B,17.95
F,B,31.83
F,B,21.71
F,B,29.99
F,B,20.89
F,B,29.6
F,B,22.77
F,B,26.03
F,B,36.84
F,B,26.25
F,B,22.93
F,B,28.25
F,B,23.84
F,B,20.53
F,B,24.1
F,B,24.79
F,B,23.68
F,B,21.86
F,B,27.25
F,B,21.55
F,B,24.12
F,B,23.07
F,A,20.8
F,A,24.54
F,A,27.28
F,A,22.13
F,A,27.78
F,A,28.01
F,A,19.18
F,A,21.4
F,A,27.53
F,A,28.61
F,A,20.45
F,A,23
F,A,28.26
F,A,24.76
F,A,23.82
F,A,21.9
F,A,26.07
F,A,31.15
F,A,27.92
F,A,19.81
F,A,24.94
F,A,22.6
F,A,22.39
F,A,34.93
F,A,29.66
F,A,26.46
F,B,20.43
F,B,24.82
F,B,25.43
F,B,22.12
F,B,20.99
F,B,23.28
F,B,25.78
F,B,22
F,B,20.74
F,B,21.51
F,B,26.85
F,B,25.54
F,B,22.51
F,B,21.92
F,B,21.32
F,B,23.59
F,B,26.14
F,B,20.27
F,B,29.6
F,B,24.77
F,B,22.36
F,B,21.65
F,B,22.08
F,B,26.59
F,B,24.6
F,A,21.88
F,A,26.5
F,A,24.55
F,A,16.56
F,A,29.18
F,A,26.07
F,A,17.54
F,A,26.18
F,A,25.26
F,A,27.5
F,A,23.14
F,A,31.41
F,A,25.14
F,A,22.12
F,A,17.01
F,A,22.8
F,A,25.37
F,A,28.61
F,A,22.13
F,A,21.66
F,A,24.9
F,A,33.13
F,A,29.58
F,A,23.05
F,B,22.19
F,B,29.19
F,B,25.14
F,B,23.19
F,B,27.36
F,B,23.53
F,B,23.54
F,B,18.41
F,B,28.14
F,B,23.34
F,B,20.11
F,B,18.08
F,B,21.03
F,B,24.23
F,B,19.67
F,B,22.66
F,B,26.66
F,B,20.69
F,B,27.42
F,B,21.91
F,B,16.82
F,B,24.47
F,B,23.96
F,B,23.18
F,B,28.8
F,A,23.98
F,A,26.37
F,A,24.05
F,A,31.18
F,A,34.3
F,A,31.63
F,A,23.83
F,A,25.84
F,A,26.84
F,A,36.23
F,A,23.52
F,A,24.65
F,A,24.47
F,A,39.28
F,A,26.42
F,A,18.55
F,A,20.67
F,A,23.43
F,A,20.88
F,A,18.73
F,A,24.64
F,A,25.22
