animal.id	cage	experiment.date	sex	experimental.group	tissue	dilution.factor	homogenate.volume	plated.volume	tissue.weight	no.cfu
R2	G7	2016.01.12	F	Treatment	liver	10	3	0.04	0.1415	60
R4	G7	2016.01.12	F	Treatment	liver	10	3	0.04	0.0679	0
R1	G9	2016.01.13	M	Treatment	liver	10	3	0.04	0.0999	62
R2	G9	2016.01.13	M	Treatment	liver	10	3	0.04	0.0611	0
R3	G9	2016.01.13	F	Treatment	liver	10	3	0.04	0.075	47
F4	G9	2016.01.13	M	Control	liver	10	3	0.04	0.0294	0
R4	G9	2016.01.13	M	Treatment	liver	10	3	0.04	0.0831	31
R1	G8	2016.01.16	M	Treatment	liver	10	3	0.04	0.07	0
R2	G8	2016.01.16	M	Treatment	liver	10	3	0.04	0.0669	52
R3	G8	2016.01.16	M	Treatment	liver	10	3	0.04	0.068	0
F1	G9	2016.01.16	F	Treatment	liver	10	3	0.04	0.1245	52
F2	G9	2016.01.16	M	Treatment	liver	10	3	0.04	0.1252	22
F4	G9	2016.01.16	M	Treatment	liver	10	3	0.04	0.093	5
F5	G9	2016.01.16	F	Treatment	liver	10	3	0.04	0.1224	22
R3	G7	2016.01.12	M	Treatment	liver	100	3	0.04	0.1101	3
F1	G9	2016.01.13	M	Control	liver	100	3	0.04	0.0969	0
F2	G9	2016.01.13	M	Control	liver	100	3	0.04	0.0861	0
F3	G9	2016.01.13	F	Control	liver	100	3	0.04	0.0663	1
F3	G8	2016.01.16	M	Control	liver	100	3	0.04	0.061	28
F3	G9	2016.01.16	F	Treatment	liver	100	3	0.04	0.1045	6
R3	G9	2016.01.16	M	Control	liver	100	3	0.04	0.0669	11
R1	G7	2016.01.12	F	Treatment	liver	1000	3	0.04	0.1376	32
F2	G7	2016.01.12	M	Control	liver	1000	3	0.04	0.1487	2
F3	G7	2016.01.12	F	Control	liver	1000	3	0.04	0.095	13
F4	G7	2016.01.12	M	Control	liver	1000	3	0.04	0.0887	15
F1	G8	2016.01.16	M	Control	liver	1000	3	0.04	0.0657	2
F2	G8	2016.01.16	F	Control	liver	1000	3	0.04	0.0519	8
R1	G9	2016.01.16	M	Control	liver	1000	3	0.04	0.0679	18
R2	G9	2016.01.16	F	Control	liver	1000	3	0.04	0.1399	39
R4	G9	2016.01.16	F	Control	liver	1000	3	0.04	0.0935	30
R5	G9	2016.01.16	M	Control	liver	1000	3	0.04	0.0757	41
F1	G7	2016.01.12	F	Control	liver	10000	3	0.04	0.0863	41
F1	G7	2016.01.12	F	Control	lung	10	3	0.04	0.0507	60
R1	G7	2016.01.12	F	Treatment	lung	10	3	0.04	0.0232	0
F2	G7	2016.01.12	M	Control	lung	10	3	0.04	0.0176	62
R2	G7	2016.01.12	F	Treatment	lung	10	3	0.04	0.0272	0
F3	G7	2016.01.12	F	Control	lung	10	3	0.04	0.0296	47
R3	G7	2016.01.12	M	Treatment	lung	10	3	0.04	0.0265	0
F4	G7	2016.01.12	M	Control	lung	10	3	0.04	0.023	31
R4	G7	2016.01.12	F	Treatment	lung	10	3	0.04	0.0222	0
